,C1_corr,C1_pval,C1_qval,C1_ci_low,C1_ci_high,C5_1_corr,C5_1_pval,C5_1_qval,C5_1_ci_low,C5_1_ci_high
PF3D7_0604400,0.38021675380628134,1.173690938083392e-160,2.231346522060812e-159,0.3550959117670177,0.4047888756174274,-0.3801789451883977,1.2722622728791953e-160,2.4187440710532885e-159,-0.404751919507929,-0.3550572867790146
PF3D7_0318000,0.380063656195038,1.6268223681736823e-160,3.081140175797627e-159,0.35493950897558224,0.4046392295542081,-0.38002880685956003,1.752278724525779e-160,3.3187497805263714e-159,-0.40460516570453364,-0.35490390748434203
PF3D7_1103500,0.378290708748016,7.035554117221705e-159,1.327497974223148e-157,0.3531283883152078,0.4029061568893368,-0.3782477343413818,7.705758683541197e-159,1.4539549937102733e-157,-0.4028641468147194,-0.35308449097037503
PF3D7_1451800,0.3765997390284503,2.4966621877095358e-157,4.67565205974409e-156,0.3514011861328157,0.40125305373315145,-0.37656976533041564,2.6591681825244923e-157,4.979986980630757e-156,-0.4012237497994842,-0.3513705717344719
PF3D7_1115200,0.3755403822678273,2.3086807359435772e-156,4.2915809680373385e-155,0.35031921788250564,0.4002173377450225,-0.3755178875645894,2.4201039460526876e-156,4.498704335273496e-155,-0.40019534435359405,-0.35029624376983326
PF3D7_1146300,0.37492813191565444,8.315422470850962e-156,1.540040788974206e-154,0.3496939300154828,0.3996187217218565,-0.37489179571814973,8.971646878294813e-156,1.66157548642663e-154,-0.39958319404062104,-0.349656820766508
PF3D7_1331400,0.3745645741688053,1.7771928700882555e-155,3.279312873151822e-154,0.3493226411561392,0.3992632501521061,-0.37452773461654526,1.9192563035320732e-155,3.5414512453777485e-154,-0.39922722956329165,-0.34928501864732536
PF3D7_0724900,0.37450344385549256,2.0190738131534108e-155,3.7119895487974245e-154,0.34926021167559396,0.3992034787574636,-0.37447463936730646,2.1441758402967004e-155,3.9419848140839336e-154,-0.3991753145164185,-0.34923079509993876
PF3D7_0611600,0.37375006091345697,9.706661251539542e-155,1.7715539207809805e-153,0.34849083592087415,0.39846682617923324,-0.3737191194410743,1.0352240196819266e-154,1.8893779471940328e-153,-0.39843657114192593,-0.34845923835058434
PF3D7_1224200,0.37186901314069026,4.798861112941974e-153,8.695120550850457e-152,0.3465700058434447,0.39662741158911663,-0.37183841565352527,5.112032844906481e-153,9.262560595157265e-152,-0.39659748967199826,-0.34653876300317904
PF3D7_0510700,0.370895764708432,3.571669540850528e-152,6.425164668648315e-151,0.3455762574468721,0.3956756259894624,-0.3708592014941015,3.850857802212985e-152,6.927403336669165e-151,-0.39563986805815504,-0.3455389251920966
PF3D7_1452900,0.3702519442140851,1.3420082573014469e-151,2.4055498012128435e-150,0.34491890708329825,0.39504597427197746,-0.37023710133966886,1.3835410923083098e-151,2.4799974079626454e-150,-0.39503145777502874,-0.3449037525793463
PF3D7_0912700,0.36935614877842105,8.419352498708909e-151,1.4931706781279156e-149,0.34400432787142776,0.39416985415471834,-0.3693230171256365,9.009967164420344e-151,1.5979160847429578e-149,-0.3941374493431403,-0.34397050240932564
PF3D7_1407000,0.3686215685341877,3.7777412450620656e-150,6.65280116104088e-149,0.3432543802392366,0.3934513746287782,-0.36859670008101936,3.97439740845431e-150,6.999123015099011e-149,-0.3934270507179577,-0.3432289921050969
PF3D7_1430200,0.3679848462716207,1.3830903736519916e-149,2.418721458313361e-148,0.34260436394132415,0.39282858366860013,-0.36798016327756555,1.3963387332756642e-149,2.4418899311186617e-148,-0.39282400305270365,-0.3425995832617054
PF3D7_0608800,0.36775067844327275,2.2273412214271877e-149,3.881606107758005e-148,0.3423653130671083,0.39259953363403627,-0.36775157728037033,2.2232730308619507e-149,3.8745164381583784e-148,-0.3926004128327278,-0.34236623064115823
PF3D7_1454900,0.361704259485815,4.2368353660584974e-144,7.332647138706069e-143,0.3361939473948619,0.3866841930564045,-0.3616720945370495,4.516457282088154e-144,7.816585896138085e-143,-0.386652719903906,-0.3361611236279549
